epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1349.08,0.9199,0.68591,1.23876,0.8687,1,0.995,0.79411,0.73634,0.45006,1.30322,0.000414688,0.000414688,0.000414688
56,1378.31,0.92675,0.68564,1.24233,0.89019,1,0.995,0.8223,0.69146,0.4651,1.28277,0.000399219,0.000399219,0.000399219
57,1407.27,0.9185,0.67727,1.23575,0.91975,0.98836,0.995,0.84678,0.64228,0.34294,1.29531,0.00038375,0.00038375,0.00038375
58,1435.28,0.91548,0.67238,1.23762,0.90354,0.98019,0.995,0.88868,0.63202,0.41445,1.26449,0.000368281,0.000368281,0.000368281
59,1459.35,0.91341,0.6668,1.23552,0.93698,0.98455,0.995,0.8925,0.64535,0.43216,1.24366,0.000352812,0.000352812,0.000352812
60,1483.81,0.90765,0.6527,1.22027,0.92499,0.94865,0.995,0.89788,0.66845,0.36939,1.31017,0.000337344,0.000337344,0.000337344
61,1508.46,0.90932,0.65671,1.23379,0.89968,0.95325,0.995,0.90933,0.60634,0.36945,1.19401,0.000321875,0.000321875,0.000321875
62,1537.08,0.88719,0.63686,1.20946,0.95351,0.92133,0.995,0.88346,0.5982,0.37799,1.24603,0.000306406,0.000306406,0.000306406
63,1566.96,0.89812,0.64809,1.21946,0.86925,0.97228,0.995,0.88543,0.63475,0.43433,1.2772,0.000290937,0.000290937,0.000290937
64,1597.07,0.89046,0.63126,1.20966,0.91632,0.93234,0.995,0.885,0.60981,0.37806,1.23402,0.000275469,0.000275469,0.000275469
65,1626.82,0.89011,0.6303,1.2191,0.91371,0.98018,0.995,0.87202,0.61857,0.35249,1.25003,0.00026,0.00026,0.00026
66,1655.65,0.87621,0.62481,1.19974,0.94569,0.98851,0.995,0.84681,0.56628,0.41894,1.18037,0.000244531,0.000244531,0.000244531
67,1679.55,0.87321,0.60715,1.20358,0.92824,0.97818,0.995,0.87168,0.59352,0.3694,1.18632,0.000229063,0.000229063,0.000229063
68,1708,0.87057,0.61105,1.20444,0.943,0.97989,0.995,0.85137,0.61811,0.42179,1.18774,0.000213594,0.000213594,0.000213594
69,1738.06,0.87209,0.61192,1.20232,0.93047,0.98669,0.995,0.86761,0.57254,0.36097,1.16121,0.000198125,0.000198125,0.000198125
70,1767.11,0.85618,0.60804,1.1877,0.92201,0.95611,0.995,0.88394,0.50865,0.3457,1.12841,0.000182656,0.000182656,0.000182656
71,1821.99,0.80505,0.50095,1.23147,0.94061,0.97916,0.995,0.90903,0.52501,0.34472,1.1198,0.000167188,0.000167188,0.000167188
72,1850.37,0.77779,0.4654,1.19918,0.90843,0.9666,0.995,0.95922,0.50674,0.34549,1.1175,0.000151719,0.000151719,0.000151719
73,1879.41,0.76765,0.46014,1.18782,0.91588,0.98014,0.995,0.93381,0.53956,0.33291,1.13608,0.00013625,0.00013625,0.00013625
74,1908.32,0.75573,0.43921,1.1819,0.91635,0.98274,0.995,0.8955,0.55746,0.33339,1.2098,0.000120781,0.000120781,0.000120781
75,1937.04,0.74991,0.43304,1.18461,0.91696,0.97638,0.995,0.91351,0.54947,0.34913,1.17033,0.000105312,0.000105312,0.000105312
76,1964.4,0.74204,0.42885,1.17465,0.93305,0.97458,0.995,0.89333,0.56054,0.34606,1.18714,8.98437e-05,8.98437e-05,8.98437e-05
77,1988.63,0.73298,0.42419,1.16342,0.9217,0.9853,0.995,0.90947,0.56931,0.31788,1.19001,7.4375e-05,7.4375e-05,7.4375e-05
78,2017.23,0.72637,0.41364,1.15768,0.92728,0.98842,0.995,0.92415,0.53504,0.32033,1.15186,5.89062e-05,5.89062e-05,5.89062e-05
79,2046.55,0.72296,0.40627,1.15843,0.91939,0.98047,0.995,0.92233,0.50477,0.31582,1.13432,4.34375e-05,4.34375e-05,4.34375e-05
80,2075.59,0.71844,0.40607,1.15546,0.92404,0.98078,0.995,0.92238,0.51439,0.32301,1.15121,2.79687e-05,2.79687e-05,2.79687e-05
